DATE,DURATION,COUNTRY_ID,EVENT,ID_EVENT
1798,4,ES,War of the Second Coalition,w_140
1798,4,PL,War of the Second Coalition,w_140
1798,4,DK,War of the Second Coalition,w_140
1798,4,NO,War of the Second Coalition,w_140
1798,4,AT,War of the Second Coalition,w_140
1798,4,DE,War of the Second Coalition,w_140
1798,4,PT,War of the Second Coalition,w_140
1798,4,IT,War of the Second Coalition,w_140
1798,4,TR,War of the Second Coalition,w_140
1798,4,UK,War of the Second Coalition,w_140
1798,1,RU,War of the Second Coalition,w_140
1798,2,FR,Quasi-War,w_141
1798,2,US,Quasi-War,w_141
1945,1,FR,War in Vietnam,w_142
1945,1,VN,War in Vietnam,w_142
1945,1,UK,War in Vietnam,w_142
1945,1,JP,War in Vietnam,w_142
1945,1,IN,War in Vietnam,w_142
1946,8,VN,First Indochina War,w_143
1946,8,LA,First Indochina War,w_143
1946,8,URSS,First Indochina War,w_143
1946,8,RU,First Indochina War,w_143
1946,8,CN,First Indochina War,w_143
1946,8,KH,First Indochina War,w_143
1946,8,US,First Indochina War,w_143
1946,8,FR,First Indochina War,w_143
1947,1,IN,Indo-Pakistani War of 1947,w_144
1947,1,PK,Indo-Pakistani War of 1947,w_144
1948,1,IL,1948 Arab-Israeli War,w_145
1948,1,EG,1948 Arab-Israeli War,w_145
1948,1,IQ,1948 Arab-Israeli War,w_145
1948,1,JO,1948 Arab-Israeli War,w_145
1948,1,SY,1948 Arab-Israeli War,w_145
1948,1,LB,1948 Arab-Israeli War,w_145
1950,3,KR,Korean War,w_146
1950,3,US,Korean War,w_146
1950,3,UK,Korean War,w_146
1950,3,AU,Korean War,w_146
1950,3,BE,Korean War,w_146
1950,3,CA,Korean War,w_146
1950,3,FR,Korean War,w_146
1950,3,PH,Korean War,w_146
1950,3,CO,Korean War,w_146
1950,3,ET,Korean War,w_146
1950,3,EL,Korean War,w_146
1950,3,LU,Korean War,w_146
1950,3,NL,Korean War,w_146
1950,3,NZ,Korean War,w_146
1950,3,ZA,Korean War,w_146
1950,3,TH,Korean War,w_146
1950,3,TR,Korean War,w_146
1950,3,KP,Korean War,w_146
1950,3,CN,Korean War,w_146
1950,3,URSS,Korean War,w_146
1950,3,RU,Korean War,w_146
1954,8,DZ,Algerian War,w_147
1954,8,FR,Algerian War,w_147
1955,20,VN,Vietnam War,w_148
1955,20,KP,Vietnam War,w_148
1955,20,KR,Vietnam War,w_148
1955,20,LA,Vietnam War,w_148
1955,20,AU,Vietnam War,w_148
1955,20,TH,Vietnam War,w_148
1955,20,US,Vietnam War,w_148
1955,20,NZ,Vietnam War,w_148
1957,1,ES,Ifni War,w_149
1957,1,FR,Ifni War,w_149
1957,1,MA,Ifni War,w_149
1961,9,IQ,First Iraqi-Kurdish War,w_150
1961,9,SY,First Iraqi-Kurdish War,w_150
1962,0,IN,Sino-Indian War,w_151
1962,0,CN,Sino-Indian War,w_151
1963,0,MA,Sand War,w_152
1963,0,DZ,Sand War,w_152
1963,4,KE,Shifta War,w_153
1963,4,SO,Shifta War,w_153
1965,0,IN,Indo-Pakistani War of 1965,w_154
1965,0,PK,Indo-Pakistani War of 1965,w_154
1966,13,AO,South African Border War,w_155
1966,13,CU,South African Border War,w_155
1966,13,ZM,South African Border War,w_155
1966,13,ZA,South African Border War,w_155
1967,0,IL,Six-Day War,w_156
1967,0,EG,Six-Day War,w_156
1967,0,SY,Six-Day War,w_156
1967,0,JO,Six-Day War,w_156
1967,0,IQ,Six-Day War,w_156
1967,0,SA,Six-Day War,w_156
1967,0,MA,Six-Day War,w_156
1967,0,DZ,Six-Day War,w_156
1967,0,LY,Six-Day War,w_156
1967,0,KW,Six-Day War,w_156
1967,0,TN,Six-Day War,w_156
1967,0,SD,Six-Day War,w_156
1967,3,IL,War of Attrition,w_157
1967,3,EG,War of Attrition,w_157
1967,3,URSS,War of Attrition,w_157
1967,3,RU,War of Attrition,w_157
1967,3,CU,War of Attrition,w_157
1967,3,JO,War of Attrition,w_157
1967,3,SY,War of Attrition,w_157
1969,0,SV,Football War,w_158
1969,0,HN,Football War,w_158
1969,0,SA,Al-Wadiah War,w_159
1969,0,YE,Al-Wadiah War,w_159
1971,0,IN,Bangladesh Liberation War,w_160
1971,0,PK,Bangladesh Liberation War,w_160
1971,0,BD,Bangladesh Liberation War,w_160
1973,0,IL,Yom Kippur War,w_161
1973,0,EG,Yom Kippur War,w_161
1973,0,SY,Yom Kippur War,w_161
1975,16,MA,Western Sahara War,w_162
1975,4,MR,Western Sahara War,w_162
1977,1,FR,Western Sahara War,w_162
1976,0,DZ,Western Sahara War,w_162
1975,14,KH,Cambodian Vietnamese War,w_163
1975,14,TH,Cambodian Vietnamese War,w_163
1975,14,US,Cambodian Vietnamese War,w_163
1975,14,VN,Cambodian Vietnamese War,w_163
1977,0,LY,Libyan-Egyptian war,w_164
