"","i","j","cosSimTerm"
"1457","Gon10Jou.txt","Mir86Urb.txt",0.611888208079281
"1589","Ign15Dis.txt","Kum14Jou.txt",0.611754572467631
"2123","She12Com.txt","XuZ09Urb.txt",0.611576431637644
"866","Cie16Mis.txt","Soo07Urb.txt",0.611559372105645
"1539","Gul12Age.txt","Pum15Cyb.txt",0.611494130642144
"1299","Gab99Qua.txt","Li_16Wor.txt",0.611417761187703
"1089","Eec04The.txt","Mod15Qua.txt",0.611377559897982
"570","Bos08Reg.txt","Gul12Age.txt",0.611207322075652
"149","And05Reg.txt","Faz15Jou.txt",0.611193639960602
"1910","Mir86Urb.txt","Soo07Urb.txt",0.610923204889372
"1745","Kum14Jou.txt","Mir86Urb.txt",0.610667481564123
"521","Bla03Jou.txt","Kum14Jou.txt",0.610344415224901
"446","Ber12Cit.txt","Eec04The.txt",0.609516655516671
"97","Ama14Int.txt","Iye13Eur.txt",0.609505184476092
"182","And05Reg.txt","Ros80Jou.txt",0.609183168157385
"576","Bos08Reg.txt","Kru96Jou.txt",0.609013070463734
"1949","Mor13Tex.txt","Son02Urb.txt",0.608938887238665
"1613","Ign15Dis.txt","Soo07Urb.txt",0.608825642435682
"1527","Gul12Age.txt","Man16Reg.txt",0.608752297941215
"1179","Ezz15Rev.txt","Mor13Tex.txt",0.608552941489105
"1767","Kum14Jou.txt","Ziq16Asi.txt",0.608415975891203
"1891","Man16Reg.txt","XuZ09Urb.txt",0.60839644743835
"2143","Ven13Oec.txt","XuZ09Urb.txt",0.608251838047029
"1535","Gul12Age.txt","Par83Jou.txt",0.608041651978472
"412","Ben07Com.txt","Mir86Urb.txt",0.60663489091516
"393","Ben07Com.txt","Gab99Qua.txt",0.606260103720658
"190","And05Reg.txt","Ven13Oec.txt",0.606173918775723
"1546","Gul12Age.txt","Soo07Urb.txt",0.605622392297251
"1501","Gue95Urb.txt","Par85Jou.txt",0.605517952099892
"121","Ama14Int.txt","Sch12Reg.txt",0.60527286056233
"1127","Ett87Env.txt","Kum14Jou.txt",0.605117504676997
"1620","Iye13Eur.txt","Kru96Jou.txt",0.605112586185823
"1724","Kru96Jou.txt","Par83Jou.txt",0.605017673125647
"125","Ama14Int.txt","Soo07Urb.txt",0.604750578178262
"677","Bre00Cyb.txt","Gon10Jou.txt",0.604528361964242
"1158","Ezz15Rev.txt","Gab99Qua.txt",0.604408162088577
"632","Bra99Jou.txt","Kum14Jou.txt",0.604083066873002
