"","i","j","cosSim"
"937","Gab99Qua","Dim09Urb",0.105833439166825
"1720","Gon10Jou","Del13Eur",0.105670493051452
"1730","Gon10Jou","Bre15Int",0.105670493051452
"782","Kru96Jou","Gan06Eco",0.105409255338946
"1277","Del04Con","Faz15Jou",0.105409255338946
"1802","Gab11Jou","Gan13Eco",0.105409255338946
"551","Alp89Jou","Kam90Jou",0.104828483672192
"1542","Bos08Reg","Ezz15Rev",0.104828483672192
"1846","Arr12Reg","Ber12Cit",0.104713477072924
"1621","Dim09Urb","Hol10Nat",0.104257207028537
"266","Sua80Jou","Gab99Qua",0.103695169473043
"1255","Del04Con","Gon10Jou",0.103695169473043
