"","i","j","diff_mean"
"864","Del13Eur","Gan13Eco",0.0588786426959607
"734","Cie16Mis","Mor13Tex",0.0591199535712204
"567","Bre00Cyb","Kum14Jou",0.0592791994084794
"1332","Gie10Jou","She12Com",0.0594631561662041
"629","Bre15Int","Mor13Tex",0.0594924581836958
"302","Bat01Urb","Sch12Reg",0.0595330602168802
"1182","Gab99Qua","Gue95Urb",0.0595492640982675
"1113","Faz15Jou","Mod15Qua",0.0598043312926374
"2039","Roz11Ame","Soo05Reg",0.0599825244755848
"938","Dim09Urb","Par85Jou",0.0601031180768328
"585","Bre00Cyb","Ros80Jou",0.0603478839666407
"645","Bre15Int","Soo07Urb",0.0604648118182569
"1385","Gue95Urb","Kru96Jou",0.0605214969815045
"42","Alp89Jou","Mir86Urb",0.0605877855871798
"79","Ama14Int","Dim09Urb",0.0606025163884409
"332","Ber12Cit","Gue95Urb",0.0608455746092501
"789","Cra05Con","Oka79Reg",0.0612416855731732
"1604","Knu01Ame","Pum15Cyb",0.0612506716439323
"447","Bos08Reg","Gue95Urb",0.0613316910508686
"1571","Kam90Jou","Pen10Phy",0.061745268794427
"1298","Gan13Eco","Ven13Oec",0.0617460859818909
"1256","Gan06Eco","Soo07Urb",0.0617934732487983
"1582","Kam90Jou","Ven13Oec",0.0618155311135876
"21","Alp89Jou","Gab11Jou",0.0619303925317516
"1592","Knu01Ame","Man16Reg",0.061954699381306
"1906","Mor13Tow","Sua80Jou",0.0622229045271693
"916","Dim09Urb","Gul12Age",0.0624659627479785
"1689","Kum14Jou","Pen10Phy",0.0625409565795822
"1240","Gan06Eco","Mor13Tex",0.0627658268833594
"2054","She12Com","Soo05Reg",0.0629695140755568
"425","Bla03Jou","Ven13Oec",0.063200359949558
"492","Bra99Jou","Dim09Urb",0.0635192150381518
"1745","Li_16Wor","Ros80Jou",0.0639615518214641
"880","Del13Eur","Mal80Env",0.0640207761091453
"619","Bre15Int","Kra98Urb",0.0641673702936433
"772","Cra05Con","Iye13Eur",0.0641763563644023
"761","Cra05Con","Faz15Jou",0.0641828046800607
"143","And05Reg","Ett87Env",0.0645927221800595
"1747","Li_16Wor","Sch12Reg",0.0646046727856408
"563","Bre00Cyb","Kam90Jou",0.0650070259655298
"695","Cam90Jou","She12Com",0.0655902984401575
"203","Ara14Eco","Eec04The",0.0656307163283827
"1513","Ign15Dis","Son02Urb",0.066268964606903
"2033","Ros80Jou","Ven13Oec",0.0664746731124767
"1302","Gie10Jou","Gue95Urb",0.0664764233913312
"1212","Gab99Qua","She12Com",0.0665625313233945
"350","Ber12Cit","Mor13Tow",0.0667599913156086
"1655","Kru96Jou","Mor13Tow",0.0670840689433543
"946","Dim09Urb","Son02Urb",0.0671920948192696
"1687","Kum14Jou","Par83Jou",0.0673811401021212
"1667","Kru96Jou","She12Com",0.0675347642066315
