"","i","j","cosSim"
"524","Ett87Env","Roz11Ame",1
"525","Ett87Env","Arr12Reg",1
"526","Ett87Env","Ber12Cit",1
"527","Ett87Env","Gul12Age",1
"528","Ett87Env","Sch12Reg",1
"529","Ett87Env","She12Com",1
"530","Ett87Env","Del13Eur",1
"531","Ett87Env","Gan13Eco",1
"532","Ett87Env","Iye13Eur",1
"533","Ett87Env","Mor13Tex",1
"534","Ett87Env","Mor13Tow",1
"535","Ett87Env","Ven13Oec",1
"536","Ett87Env","Ama14Int",1
"537","Ett87Env","Ara14Eco",1
"538","Ett87Env","Kum14Jou",1
"539","Ett87Env","Luc14Eco",1
"540","Ett87Env","Bre15Int",1
"541","Ett87Env","Ezz15Rev",1
"542","Ett87Env","Faz15Jou",1
"543","Ett87Env","Ign15Dis",1
"544","Ett87Env","Mod15Qua",1
"545","Ett87Env","Pum15Cyb",1
"546","Ett87Env","Cie16Mis",1
"547","Ett87Env","Li_16Wor",1
"548","Ett87Env","Man16Reg",1
"549","Ett87Env","Ziq16Asi",1
"550","Alp89Jou","Cam90Jou",1
"551","Alp89Jou","Kam90Jou",1
"552","Alp89Jou","Gue95Urb",1
"553","Alp89Jou","Kru96Jou",1
"554","Alp89Jou","Kra98Urb",1
"555","Alp89Jou","Bra99Jou",1
"556","Alp89Jou","Gab99Qua",1
"557","Alp89Jou","Bre00Cyb",1
"558","Alp89Jou","Bat01Urb",1
"559","Alp89Jou","Knu01Ame",1
"560","Alp89Jou","Son02Urb",1
"561","Alp89Jou","Bla03Jou",1
"562","Alp89Jou","Nau03Jou",1
"563","Alp89Jou","Del04Con",1
"564","Alp89Jou","Eec04The",1
"565","Alp89Jou","And05Reg",1
"566","Alp89Jou","Cra05Con",1
"567","Alp89Jou","Soo05Reg",1
"568","Alp89Jou","Gan06Eco",1
"569","Alp89Jou","Soo07Urb",1
"570","Alp89Jou","Bos08Reg",1
"571","Alp89Jou","LeG08Emp",1
"572","Alp89Jou","Nis08Jou",1
"573","Alp89Jou","Dim09Urb",1
"574","Alp89Jou","XuZ09Urb",1
"575","Alp89Jou","Gie10Jou",1
